employeeid,firstname,lastname,address,city,state,zip,phone,hiredate,managerid,ssn,emailaddress
5,Louis,McDougald,26 Ventura Drive,Scotts Valley,CA,95066,831-438-7850,2001-10-25,5,557-77-0715,LouisHMcDougald@gustr.com
17,Audrey,McLeod,2083 Jim Rosa Lane,San Francisco,CA,94107,415-762-4047,2002-02-28,5,626-94-4419,AudreyMMcLeod@fleckens.hu
35,Kyle,Sisk,2441 Cimmaron Road,Garden Grove,CA,92643,714-636-6046,2000-06-20,5,624-27-0067,KyleTSisk@jourrapide.com
45,Zachary,Cortez,289 Brown Bear Drive,Los Angeles,CA,90017,951-603-6990,2006-07-10,5,569-79-8855,ZacharyECortez@fleckens.hu
59,Thomas,Vaughan,3758 Armbrester Drive,Irvine,CA,92614,310-526-5232,2006-11-05,5,620-15-4370,ThomasDVaughan@superrito.com
61,Jerry,Scranton,1767 Reynolds Alley,Paramount,CA,90723,562-346-7291,2011-06-26,17,622-18-9025,JerryEScranton@superrito.com
68,Helen,Pauley,4332 Park Street,Livermore,CA,94550,925-424-4804,2009-10-17,35,610-26-2945,HelenAPauley@dayrep.com
74,Joseph,Butler,2817 Clarence Court,Los Angeles,CA,90017,909-998-7106,2010-03-13,35,618-39-2983,JosephFButler@fleckens.hu
82,Jessica,Botts,1706 Red Maple Drive,Los Angeles,CA,90031,323-441-6786,2005-04-19,35,564-78-5083,JessicaABotts@dayrep.com
99,Virginia,Hart,201 Diane Street,Oxnard,CA,93032,805-385-4096,2006-08-07,35,572-20-9302,VirginiaDHart@gustr.com
102,Kristen,Browner,1490 Pike Street,San Diego,CA,92126,858-566-5833,2002-08-16,45,611-32-7709,KristenBBrowner@einrot.com
115,Jerry,Myers,4094 Doctors Drive,Santa Monica,CA,90401,310-434-2891,2008-05-23,45,616-43-7170,JerrySMyers@teleworm.us
135,Ronald,Lynch,875 Pike Street,San Diego,CA,92123,858-587-5074,2012-01-09,45,551-69-3204,RonaldJLynch@einrot.com
155,Rickey,Dietz,4405 Beech Street,Antioch,CA,94509,925-756-5184,2010-06-24,59,562-88-2667,RickeyCDietz@armyspy.com
158,Dorothy,May,504 Black Oak Hollow Road,Sunnyvale,CA,94089,408-756-3631,2009-05-29,59,606-38-3557,DorothySMay@armyspy.com
160,Sergio,Silver,4622 Davis Avenue,San Francisco,CA,94107,707-759-6359,2008-02-13,59,618-30-7224,SergioCSilver@armyspy.com
161,Brian,Manley,264 Gordon Street,Colton,CA,92324,909-570-3380,2010-11-06,59,556-99-0809,BrianAManley@armyspy.com
170,Irish,Williams,71 Rosemont Avenue,Los Angeles,CA,90031,323-225-7625,2009-12-03,59,619-94-9403,IrishJWilliams@rhyta.com
173,Frank,Soto,3061 Ventura Drive,Santa Cruz,CA,95062,831-462-2411,2008-01-17,59,569-04-3493,FrankDSoto@einrot.com
186,Nicholas,Beard,3359 Maple Avenue,Jackson,CA,95642,209-257-3684,2013-10-05,59,621-12-1458,NicholasSBeard@dayrep.com
195,Martha,Cole,3251 Leisure Lane,Thousand Oaks,CA,91362,805-494-2515,2011-05-01,59,604-01-7161,MarthaSCole@jourrapide.com
